Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Components,Due date,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Dependency),Custom field (Acceptance Criteria),Custom field (Accessibility Notes),Custom field (Address),Custom field (Address 1),Custom field (Address 2),Custom field (Address 3),Custom field (Affected hardware),Custom field (Affected services),Custom field (Alert OnCall),Custom field (Approvals),Custom field (Associated Product),Custom field (Backout plan),Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Business Need/Use Case),Custom field (Business Unit),Custom field (Category),Custom field (Change System),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Text),Custom field (Clarvos Team),Custom field (Code Repository / Branch),Custom field (Customer Request Type),Custom field (Deltek Project Code),Custom field (Design Status),Custom field (Development),Custom field (Employe Start Date),Custom field (Employee Last Day),Custom field (End date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Completion Date),Custom field (Estimated Start Date),Custom field (Figma Link),Custom field (First Name),Custom field (Goals),Custom field (Hypothesis),Custom field (IHD Access Approvers),Custom field (IHD Access Approvers)Id,Custom field (Impact),Custom field (Implementation plan),Custom field (Initiative),Custom field (Initiative Enabler),Custom field (Input Data Source),Custom field (Investigation reason),Custom field (Issue color),Custom field (LOE ),Custom field (LOE Value),Custom field (LOE Weeks),Custom field (Laptop Type),Custom field (Last Name),Custom field (Location),Custom field (Locked forms),Custom field (Major incident),Custom field (Model / Algorithm),Custom field (Network Type),Custom field (Number of Topics),Custom field (Open forms),Custom field (Operating System),Custom field (Operational categorization),Custom field (Organization Name),Custom field (Output Format),Custom field (Pending reason),Custom field (Performance Metrics),Custom field (Personal Email),Custom field (Phone),Custom field (Planned Start Date),Custom field (Position),Custom field (Precise),Custom field (Primary Office),Custom field (Priority Code),Custom field (Product categorization),Custom field (Program Increment),Custom field (Project overview key),Custom field (Project overview status),Custom field (QA / Test Notes),Custom field (Rank),Custom field (Request language),Custom field (Request participants),Custom field (Resolution Notes),Custom field (Responders),Custom field (Rollback),Custom field (Root cause),Custom field (SPM Priority Score [ Strategic Alignment Model]),Custom field (SPM Priority Score [Balanced Scorecard]),Custom field (SPM Priority Score [ICE]),Custom field (SPM Priority Score [Important vs Urgent (Eisenhower Matrix)]),Custom field (SPM Priority Score [Quick Wins]),Custom field (SPM Priority Score [RICE]),Custom field (SPM Priority Score [Value vs Effort]),Custom field (SPM Priority Score [WSJF]),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Supervisor),Custom field (Sync with Project Online),Custom field (Tableua Charts),Custom field (Target end),Custom field (Target start),Custom field (Task mode),Custom field (Task progress),Custom field (Team),Custom field (Technical Approach),Custom field (Test plan),Custom field (Time Series End),Custom field (Time Series Start),Custom field (Time Spent),Custom field (Time to approve normal change),Custom field (Time to close after resolution),Custom field (Time to done),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field (X Axis),Custom field (Y Axis),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
"Clarvos Logo exports (all colors in .png, .svg, .ai) uploaded to OneDrive",CLP-1168,31063,Story,To Do,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,21/May/25 9:36 AM,30/May/25 10:15 AM,,,,Design,,team#DE,,"Export all colors, gray, black and white versions of the logo in .png, .svg. and .ai file types",,Nicole Tenny,,,,,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2bc902f3,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00n3b:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01srh:,,,,,,,,,,,,,,,,,,,,Design Sprint 8:  6/18-7/2,,,,2.0,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31048,CLP-1163,Design: Clarvos Marketing Materials,To Do,21/May/25 9:36 AM
Clarvos Letterhead Template,CLP-1167,31060,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,,,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,21/May/25 9:35 AM,30/May/25 10:14 AM,,,,Design,,,,,,Nicole Tenny,,,,,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@b112d03,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00n33:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01sr9:,,,,,,,,,,,,,,,,,,,,Design Sprint 8:  6/18-7/2,,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31048,CLP-1163,Design: Clarvos Marketing Materials,To Do,21/May/25 9:35 AM
Clarvos Powerpoint Template,CLP-1166,31057,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,,,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,21/May/25 9:34 AM,30/May/25 10:15 AM,,,,Design,,,,,,Nicole Tenny,,,,,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54aa13da,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00n2v:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01sr1:,,,,,,,,,,,,,,,,,,,,Design Sprint 8:  6/18-7/2,,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31048,CLP-1163,Design: Clarvos Marketing Materials,To Do,21/May/25 9:34 AM
Clarvos LinkedIn Header + Profile Picture,CLP-1165,31054,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,,,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,21/May/25 9:34 AM,30/May/25 10:15 AM,05/Jun/25 9:10 PM,,,Design,,team#DE,,Update LinkedIn Header + profile picture based off of the new brand guidelines,,Nicole Tenny,,,,,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b61c162,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00n2n:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01sqt:,,,,,,,,,,,,,,,,,,,,Design Sprint 8:  6/18-7/2,,,,,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31048,CLP-1163,Design: Clarvos Marketing Materials,To Do,21/May/25 9:34 AM
Clarvos Brand Guidelines,CLP-1164,31051,Story,To Do,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,21/May/25 9:34 AM,30/May/25 10:15 AM,,,,Design,,team#DE,,"Design team to create “brand guidelines lite” as a starting point for our branding

* Logo + Logomark Usage / Variations
* Color Palette
* Typography
* Motifs (if we have time)
* Tone of voice? (need brand manager help)
* Usage Examples",,Nicole Tenny,,,,,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1eee856d,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00n2f:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i01sql:,,,,,,,,,,,,,,,,,,,,Design Sprint 8:  6/18-7/2,,,,6.0,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31048,CLP-1163,Design: Clarvos Marketing Materials,To Do,21/May/25 9:34 AM
Apply Clarvos branding to third-party payment (Stripe) integration,CLP-336,27566,Story,To Do,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,Nicole Tenny,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,12/Feb/25 10:59 AM,15/Apr/25 7:20 AM,,,,Design,09/Apr/25 12:00 AM,Design,team#DE,"As a user, I want to securely make payments using credit/debit cards, bank transfers, and real-time payments, credit/debit cards, bank transfers, and real-time payments, so that my customers can securely make payments without leaving the platform, ensuring a smooth, seamless experience.

*Acceptance Criteria:*

# *Credit/Debit Card Payment:*
#* The system should display a Stripe-powered payment form that accepts major credit and debit cards (Visa, Mastercard, American Express, etc.).
#* The payment form should validate card details (number, expiry date, CVV) before submission.
#* The system should securely transmit card details to Stripe using tokenization.
#* On successful payment, the customer should receive a confirmation message and email.
#* On failed payment, the customer should receive an appropriate error message and the ability to retry.
#** “The payment was unsuccessful due to [error], please try again”.
#* The payment status should be recorded in the order management system.
# *Bank Transfer Payment:*
#* The system should display the option for bank transfer using Stripe.
#* The user should be able to select their bank and initiate the transfer securely.
#* The system should handle domestic transfers 
#* On successful payment, the customer should receive a confirmation message and email.
#* On failed payment, the customer should receive an appropriate error message and the ability to retry.
#** “The payment was unsuccessful due to [error], please try again”.
#* The payment status should be recorded in the order management system.
# *Real-Time Payments (e.g., Stripe-supported instant payments):*
#* The system should display available real-time payment options (e.g., RTP, instant bank transfers).
#* The payment should be processed instantly and reflect immediately in the customer's account.
#* On successful payment, the customer should receive a confirmation message and email.
#** Message: “Payment was successful.  A confirmation receipt will be sent via email”
#** Email content (TBD)
#* On failed payment, the customer should receive an appropriate error message and the ability to retry.
#** “The payment was unsuccessful due to [error], please try again”.
#* The payment status should be recorded in the order management system.
# *General Requirements:*
#* Payment options should be in alignment with contract subscriptions.
#** 3, 6, 12-month options
#* Payment options should have ability for automatic renewal based on subscriptions.
#* All sensitive customer and financial data should be handled securely and in compliance. Including encryption.
#* Stripe webhooks should be implemented to update payment status in real-time.
#* Partial and full refunds should be supported through Stripe’s API. (Pending Legal)
#* Error handling and user-friendly messages should be provided for all failed transactions.
#* System logs should record all payment attempts, successes, and failures for auditing purposes.

----



Design to apply Clarvos branding to white-labeled payment designs 

",,Adam Rotmil,Amy Hester,Nicole Tenny,,,712020:f7a5bb5a-2e85-4a3b-bcdc-b4b17fe14d26,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,712020:d8a72c37-5cc6-4564-982e-e00c896f1911,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@191323da,,,,,,,,,,,,,,,,,Design  DE,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00hkn:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Program Increment 1,,,,0|i01kxx:,,,,,,,,,,,,,,,,,,,,Design Sprint 1: 3/12 - 3/26,,,,,,,,,,,,Auto basic,,,,,,,,,,,,,,,,,,,,,2025-02-18 18:40:37.847,,18/Feb/25 12:15 PM;712020:d8a72c37-5cc6-4564-982e-e00c896f1911;To be completed by Zack,"18/Feb/25 1:40 PM;712020:f7a5bb5a-2e85-4a3b-bcdc-b4b17fe14d26;Notes from earlier research on this from me and Nicole:
Stripe elements: [https://stripe.com/payments/elements|https://stripe.com/payments/elements|smart-link] has pre-built components that we can style & use.
There is a more advanced version, Stripe payment intents API, which may be more than we need. [~accountid:712020:7dec8aae-595f-49a8-a284-747b478eb26c] 
","24/Feb/25 8:34 PM;712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5;[~accountid:712020:d8a72c37-5cc6-4564-982e-e00c896f1911] I tied this task to the overall epic for payments capability. I know Product and Eng will finalize the selection of the 3rd party, but I think this DESIGN epic could also house the work to add our logos/branding for white-labeling whichever vendor we go with.  ","28/Feb/25 10:02 AM;712020:f7a5bb5a-2e85-4a3b-bcdc-b4b17fe14d26;[~accountid:712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5] should we change the title and description for this task?  If it is not about selecting the platform, but rather a design task to design the branded implementation of the 3rd party tool (whichever is selected).  If so, [~accountid:712020:d8a72c37-5cc6-4564-982e-e00c896f1911]  has been working on that and has screens started in Figma which we can link from the ticket.  But wanted to check if there is an existing ticket for that already.
","28/Feb/25 10:30 AM;712020:d8a72c37-5cc6-4564-982e-e00c896f1911;[~accountid:712020:f7a5bb5a-2e85-4a3b-bcdc-b4b17fe14d26] good point, if we are using this task as our whitelabeling design work we could move out of done to in-progress and use for that instead.","28/Feb/25 10:44 AM;712020:f7a5bb5a-2e85-4a3b-bcdc-b4b17fe14d26;Ok, I have updated this title and description to reflect that task orientation. Mainly about applying clarvos branding to the white labeled version of the third-party payment platform the product team selects",26589,CLP-12,Payments Capability,To Do,04/Apr/25 3:30 PM
DAB Deployment,CLP-1253,31466,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,03/Jun/25 7:58 PM,04/Jun/25 1:03 AM,,,MarTech 1.0,Engineering - AI Ops,,,,,,Aaron Medina,,,,,712020:8d50f2c1-55dd-4dff-a75a-716160061869,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17517cb1,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00np3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0 - Critical / Extensive Impact,,,,,,0|i01tal:,,,,,,,,,,,,,,,,,,,,Eng-AIOps Sprint 8: 6/18-7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29841,CLP-840,Eng: Data Integration - Recommendations (Strategies),To Do,03/Jun/25 7:58 PM
Implement Data Relevancy Logic Evaluation,CLP-1155,30996,Story,New,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,20/May/25 7:46 PM,04/Jun/25 1:04 AM,,,MarTech 1.0,Engineering - AI Ops,,team#EN,,"[~accountid:712020:fd225af5-a3e9-4ade-9126-4b9c5994218e] has been working to improve and refine the data relevancy model by trialing different LLMs, adding additional columns, and tuning system prompts. After his successful evaluation procedure is performed, and we walk through the new logic changes, we will add the necessary components to the context area process.",,Aaron Medina,,,,,712020:8d50f2c1-55dd-4dff-a75a-716160061869,,,,,,,,,,,,,,,,"Evaluation procedure is understood and aligns with the requirements to improve this model, and is successfully implemented into the context area process. There is not an effective and scalable method to evaluate the context area, which is why Matt is evaluating on a sythetic dataset.",,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@56515579,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00n0n:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0 - Critical / Extensive Impact,,,,,,0|i01sot:,,,,,,,,,,,,,,,,,,,,Eng-AIOps Sprint 8: 6/18-7/2,,,,3.0,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27663,CLP-75,DS+ Eng: Context Area Setup for MVP,To Do,20/May/25 7:46 PM
Integrate Cluster Models,CLP-794,29730,Story,To Do,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,Aaron Medina,712020:8d50f2c1-55dd-4dff-a75a-716160061869,22/Apr/25 8:36 PM,29/May/25 1:35 PM,,,MarTech 1.0,Engineering - AI Ops,,team#EN,,"Once the cluster models are registered, we will implement them into a notebook that will cluster the full dataset. I’m not quite sure if there are two different efforts required for both clustering types or if they can be integrated together. If that is the case, then I may split this into a separate ticket for both 1 and 2 clustering.",,Aaron Medina,,,,,712020:8d50f2c1-55dd-4dff-a75a-716160061869,,,,,,,,,,,,,,,,We should be able to cluster all data points efficiently and at scale. The resulting dataset will mimic what Tony has created.,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1e64b0b4,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00lc7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P0 - Critical / Extensive Impact,,,,,,0|i01r99:,,,,,,,,,,,,,,,,,,,,Eng-AIOps Sprint 5: 5/7-5/21,,,,3.0,,,,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,"20/May/25 8:55 PM;712020:8d50f2c1-55dd-4dff-a75a-716160061869;I was not able to work on this ticket because I ran out of time due to too many meetings. This ticket will need to get rolled over into the next sprint, which will put us Off-Track for psychographics.",,,,,,26688,CLP-14,Eng: Data Integration - Psychographics/Communities,To Do,22/Apr/25 8:36 PM
x_base_fields_filtered - we need to capture x_tweet_matching_rules_tags in the schema,CLP-1004,27722,Story,Backlog,CLP,Brand Growth Platform,software,Amy Hester,712020:ca0648e1-dbfc-44e5-b770-617d19bbeee5,,Medium,,Gordon Weakliem,712020:ad09f183-8076-46a7-aa12-acabec7a677d,Gordon Weakliem,712020:ad09f183-8076-46a7-aa12-acabec7a677d,Gordon Weakliem,712020:ad09f183-8076-46a7-aa12-acabec7a677d,20/Feb/25 2:31 PM,21/May/25 3:28 PM,,,,Engineering - Platform,,,,"The {{x_tweet_matching_rules_tags}} column in {{e24-prod-data.ev24_ep_data_warehouse_v1_prd.x_filtered_rules__2020_2029__common_v1__source_text_common_fields_v0}} is not accounted for in the base_fields schema.

We need a way to track this field so we have a way to track what filters were in effect that caused a tweet to show up in our feed ",,Gordon Weakliem,,,,,712020:ad09f183-8076-46a7-aa12-acabec7a677d,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@20273cc8,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,Brendon Lock,557058:cf13b15e-c2a8-40a0-a845-582ad34964f8,,,0|i00hvr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|hzzv20:,,,,,,,,,,,,,,,,,,,,Eng 2/12 - 2/26,,,,,,,,,,,,Auto basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27962,CLP-1065,DBX Post Implementation,To Do,20/Feb/25 2:31 PM
